企业代号,企业名称,风险系数,信誉评级,评分分数,贷款金额
E1,***电器销售有限公司,0.2,A,80.0,100.0
E10,***建筑劳务有限公司,0.3182500626389373,B,68.17,76.89
E100,***装饰工程有限公司,0.6296826103493182,D,37.03,16.07
E101,***灯饰工程有限公司,0.6328939441381464,D,36.71,15.45
E102,***大药房有限责任公司,0.6106774694549454,D,38.93,19.79
E103,***科技有限公司,0.6455949346117624,D,35.44,12.97
E104,***管理咨询有限责任公司,0.36995397730503554,C,63.0,66.8
E105,***建材经营部,0.3366994022177664,C,66.33,73.3
E106,***财务管理有限公司,0.2980426611205778,B,70.2,80.86
E107,***科技有限公司,0.6276830881393191,D,37.23,16.46
E108,***商贸有限公司,0.6040218774571232,D,39.6,21.09
E109,***服饰有限公司,0.621399489842903,D,37.86,17.7
E11,***建设工程有限公司,0.3346160500192497,C,66.54,73.71
E110,***通讯器材经营部,0.3522334494322915,C,64.78,70.27
E111,***科技有限公司,0.646094340050744,D,35.39,12.87
E112,***机械设备有限公司,0.626477895651285,D,37.35,16.7
E113,***美居科技有限公司,0.6159945182210378,D,38.4,18.75
E114,***食品有限责任公司,0.6226224302513919,D,37.74,17.46
E115,***装饰工程有限公司,0.6408205134337304,D,35.92,13.91
E116,***门窗有限公司,0.6072066492798933,D,39.28,20.47
E117,***人力资源管理咨询有限公司,0.6342055635863161,D,36.58,15.2
E118,***体育用品有限公司,0.6092980767103082,D,39.07,20.06
E119,***药房,0.5957057901368629,D,40.43,22.71
E12,***建筑劳务有限公司,0.3003896353554868,B,69.96,80.39
E120,***陈列广告有限公司,0.6300564455749192,D,36.99,16.0
E121,***药业连锁有限公司***药店,0.6173379971305861,D,38.27,18.5
E122,***商贸有限责任公司,0.6468402539456376,D,35.32,12.73
E123,***创科技有限责任公司,0.6607807267541598,D,33.92,10.0
E13,***汽车贸易有限公司,0.2730631487437651,A,72.69,85.72
E14,个体经营E14,0.3556918822975506,C,64.43,69.59
E15,***劳务有限公司,0.2632168524401921,A,73.68,87.66
E16,***建筑劳务有限公司,0.26686615283997595,A,73.31,86.93
E17,***消防工程有限公司,0.2563338347356664,A,74.37,89.0
E18,***消防工程有限责任公司,0.25504835370526885,A,74.5,89.26
E19,***科技有限公司,0.25230061105743123,A,74.77,89.79
E2,***技术有限责任公司,0.3010985395857259,A,69.89,80.25
E20,***贸易有限公司,0.29318227328533336,B,70.68,81.8
E21,***建设工程有限公司,0.2978023744561737,B,70.22,80.9
E22,***物流有限公司,0.2550652682156728,A,74.49,89.24
E23,***贸易有限公司,0.2946563521301053,B,70.53,81.5
E24,***建筑工程有限公司,0.25545779663089097,A,74.45,89.16
E25,***通讯设备有限公司,0.3412699179252352,C,65.87,72.4
E26,***金属材料有限公司,0.2502413031033614,A,74.98,90.2
E27,***农业开发有限公司,0.25109670595918954,A,74.89,90.02
E28,***景观工程有限公司,0.29580273824448683,B,70.42,81.29
E29,***建筑劳务有限公司,0.5557913697411995,C,44.42,30.51
E3,***电子(中国)有限公司***分公司,0.4157622881371224,C,58.42,57.85
E30,***建筑工程有限公司,0.29435377315892464,B,70.56,81.56
E31,***食品有限公司,0.2522905348931387,A,74.77,89.79
E32,***建筑劳务有限公司,0.2948977700475517,B,70.51,81.46
E33,***园林有限责任公司,0.3079527028939783,B,69.2,78.91
E34,***建设工程有限公司,0.3070187901735686,B,69.3,79.1
E35,***商贸有限公司,0.2929298342861535,B,70.71,81.86
E36,***超硬材料有限公司,0.6199610523158967,D,38.0,17.97
E37,***木业有限公司,0.2943502733807997,B,70.56,81.56
E38,***建设工程有限公司,0.29629763531137415,B,70.37,81.19
E39,***建筑劳务有限公司,0.3365008552237461,C,66.35,73.34
E4,***发展有限责任公司,0.4205264937461795,C,57.95,56.93
E40,***财税咨询服务有限公司,0.3451056505932157,C,65.49,71.66
E41,***物业发展有限公司,0.3371328309152295,C,66.29,73.22
E42,***园艺场,0.2853826062286922,A,71.46,83.32
E43,***建设工程有限公司,0.3230351898826594,B,67.7,75.98
E44,***商贸有限公司,0.3379671494967315,C,66.2,73.05
E45,个体经营E45,0.5217083087139351,B,47.83,37.17
E46,***广告传媒有限公司,0.3370867839239636,C,66.29,73.22
E47,***控制设备有限责任公司,0.3377828071061214,C,66.22,73.09
E48,***化工有限公司,0.25218671887006944,A,74.78,89.8
E49,***地球环保科技有限公司,0.3370846212021318,C,66.29,73.22
E5,***供应链管理有限公司,0.29299715143124555,B,70.7,81.84
E50,***建筑劳务有限公司,0.35284466560589345,C,64.72,70.16
E51,***物流有限公司,0.29245081285242713,B,70.75,81.93
E52,***商贸有限公司,0.6407067369506178,D,35.93,13.93
E53,***文化传媒有限公司,0.3360304584297725,C,66.4,73.44
E54,***新技术开发有限公司,0.26101551291932423,A,73.9,88.09
E55,***集团有限公司***电力设备分公司,0.37623406397024706,C,62.38,65.59
E56,***家居材料***有限公司,0.3337863352974345,C,66.62,73.87
E57,***机械设备有限公司,0.30090086108079156,B,69.91,80.29
E58,***油气工程建设有限责任公司,0.2968494821145245,B,70.32,81.09
E59,***商贸有限公司,0.25005550821769984,A,74.99,90.21
E6,***装饰设计工程有限公司,0.26341281340455935,A,73.66,87.62
E60,***机械租赁有限公司,0.2941273479723678,B,70.59,81.62
E61,***调味品有限公司,0.2934268357714466,B,70.66,81.76
E62,***工程造价咨询有限公司***分公司,0.2962925941423512,B,70.37,81.19
E63,***科技有限公司,0.2940729371564368,B,70.59,81.62
E64,***图书有限责任公司,0.2508513253082644,A,74.91,90.06
E65,***商贸有限公司,0.2911630233095215,B,70.88,82.19
E66,***快递有限公司,0.29127332638421793,B,70.87,82.17
E67,***信息技术有限公司,0.2923337278042403,B,70.77,81.97
E68,***花木总公司,0.4222239848920821,C,57.78,56.6
E69,***电子器材经营部,0.3787465117643344,C,62.13,65.1
E7,***家电有限公司***分公司,0.3179895164880054,A,68.2,76.95
E70,***科技有限公司,0.2937074755263367,B,70.63,81.7
E71,***农业科技有限公司,0.2933096876128535,B,70.67,81.78
E72,***图书有限公司,0.3558716278844689,C,64.41,69.55
E73,***商贸有限责任公司,0.3311423141321574,C,66.89,74.39
E74,***蔬菜专业合作社,0.2982517954941894,B,70.17,80.8
E75,***酒店管理有限公司,0.37638422013134487,C,62.36,65.55
E76,***信息科技有限公司,0.2915747630833908,B,70.84,82.11
E77,***机电设备有限公司,0.33341463204225297,C,66.66,73.95
E78,个体经营E78,0.331659405929214,C,66.83,74.28
E79,***鞋业有限公司,0.29114497076935764,B,70.89,82.21
E8,***科学研究院有限公司,0.2878802672115552,A,71.21,82.83
E80,***实业有限责任公司,0.3278113786704553,C,67.22,75.04
E81,***机械设备有限公司,0.2504391300137861,A,74.96,90.16
E82,***商贸有限公司,0.5997800185169668,D,40.02,21.91
E83,***社会福利院（***社会福利社会化服务中心）,0.294184986857716,B,70.58,81.6
E84,***建材有限公司,0.2530879948889887,A,74.69,89.63
E85,***安防科技有限公司,0.2936201574369209,B,70.64,81.72
E86,***地质工程勘察院***分院,0.3462821468164965,C,65.37,71.43
E87,***实业有限责任公司,0.5513380924903436,C,44.87,31.39
E88,***贸易有限公司,0.2508792660237651,A,74.91,90.06
E89,***物资有限公司,0.24893011585529565,A,75.11,90.45
E9,***生活用品服务有限公司***分公司,0.2707785330679943,A,72.92,86.17
E90,***文化传媒有限责任公司,0.357305306727589,C,64.27,69.28
E91,***科技实业有限公司,0.25014590289032645,A,74.99,90.21
E92,***地质灾害防治有限公司,0.3297914941362429,C,67.02,74.65
E93,***电脑设计事务所,0.2929124849387766,B,70.71,81.86
E94,***汽车美容有限公司,0.35641266530840243,C,64.36,69.45
E95,***兰花店,0.31009721261585693,B,68.99,78.5
E96,***土地整理有限公司,0.3412673576738176,C,65.87,72.4
E97,***美工装饰部,0.2926966049420815,B,70.73,81.89
E98,***文化传播有限公司,0.30726159761622535,B,69.27,79.04
E99,***建筑工程有限责任公司,0.6025720729514159,D,39.74,21.37
